failure_mode,vehicle_id,length_of_study_time_step,in_study_repair,Spec_0,Spec_1,Spec_2,Spec_3,Spec_4,Spec_5,Spec_6,Spec_7,severity_anomaly_at_end,severity_signed_at_end,severity_pctdev_at_end,first_flag_time_step,lead_time,detected_within_lookback
component_x,44,157.2,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.7728748824778826,0.37079979806036834,54.89622,,,False
component_x,47,153.0,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.5750356549515926,0.02081096833561517,44.810318,,,False
component_x,48,154.4,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,0.668753608957612,0.06910887343290106,42.25165,,,False
component_x,49,504.2,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,1.3121541824363465,-0.9494706938960696,109.184074,,,False
component_x,50,504.6,0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1,0.5557540466751553,0.3904773976330693,51.10191,,,False
component_x,52,235.0,1,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.4163063154753368,0.20738290030394757,44.515472,70.8,164.1999969482422,False
component_x,53,128.2,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.737008440507236,-0.737008440507236,67.53106,46.6,81.6000015258789,False
component_x,54,393.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.8060356075506386,-0.7258429670673751,71.98102,,,False
component_x,55,167.4,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.7361869951054422,0.6530253449804574,66.18122,,,False
component_x,56,396.2,0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1,1.0974085208639799,0.7296798022060011,122.36355,,,False
component_x,57,436.2,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.8710967880744436,0.5141578063168336,132.45087,,,False
component_x,61,293.0,1,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat2,1.4605245121210404,-1.2838738663341331,78.97024,,,False
component_x,63,174.6,0,Cat0,Cat5,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1,0.7530474068787404,-0.6433596141288269,48.807358,9.8,164.79999980926513,False
component_x,64,142.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.566123928165901,0.4800355387349072,46.9995,,,False
component_x,65,449.4,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.8687092588480619,-0.04376136920363663,88.82958,,,False
component_x,67,330.8,1,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,0.5180472875586186,-0.2786250892365499,47.492855,,,False
component_x,68,509.6,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,1.4927696001781225,0.33227023028427616,293.60623,86.0,423.6,False
component_x,69,215.8,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.9057279030989377,0.844204913032021,112.22765,,,False
component_x,70,467.6,0,Cat0,Cat0,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1,0.5647386230207236,-0.1815908508829497,49.624817,,,False
component_x,71,491.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.5392716072830056,-0.5045501392871569,60.213833,,,False
component_x,72,141.2,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat2,Cat2,2.035700810344823,1.7970541132842317,100.49076,136.0,5.199999999999989,True
component_x,73,407.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.3744337220809712,-0.08967715712441482,56.141815,35.0,372.6,False
component_x,75,285.0,1,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.4775021599797415,0.3859653718956852,36.928715,231.4,53.600006103515625,True
component_x,76,298.4,0,Cat0,Cat3,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1,1.3797809880606817,-0.7225717570220472,149.35944,46.2,252.19999923706052,False
component_x,78,310.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.9254634739196694,0.9204526405620292,110.26257,,,False
component_x,79,151.6,1,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat1,0.8720472894660225,-0.08937373178121873,68.29168,,,False
component_x,80,288.4,0,Cat1,Cat6,Cat0,Cat1,Cat0,Cat0,Cat3,Cat2,0.991603035202742,-0.991603035202742,79.43444,,,False
component_x,81,262.8,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat1,Cat2,0.7286186752923355,0.20061144073824477,93.941536,,,False
component_x,82,426.0,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,1.0466496275632544,-0.2520371643269911,95.40738,55.2,370.79999923706055,False
component_x,84,311.6,1,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat1,Cat0,0.2264376618411358,0.0011853730718759947,32.23328,32.4,279.1999984741211,False
component_x,86,202.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat2,0.6005298040626773,-0.5641639173862568,64.655266,,,False
component_x,87,190.8,1,Cat0,Cat3,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1,0.9675012289122442,-0.8137080576535033,58.716755,,,False
component_x,88,468.2,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,1.0440093615562305,0.6457454104050842,106.54801,12.0,456.2,False
component_x,89,502.6,0,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1,0.5697758705312636,-0.4477001954132329,51.018238,,,False
component_x,90,179.0,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat1,Cat2,1.2582209994371396,-0.8025930248204821,88.53937,,,False
component_x,91,436.8,0,Cat0,Cat7,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1,1.6951680504643303,-0.038556017357578985,93.32987,408.4,28.400006103515636,True
component_x,92,144.4,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,2.5848897141455125,2.294862180894903,1577.4467,31.4,113.00000038146973,False
component_x,93,193.8,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.5423661646502723,0.1606576513822849,78.51423,12.6,181.19999961853028,False
component_x,94,424.6,0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat4,Cat1,1.8554809581689427,-0.6237397669505668,224.57448,,,False
component_x,95,338.8,1,Cat0,Cat8,Cat2,Cat0,Cat0,Cat2,Cat2,Cat1,0.5425705896648134,0.259908356419087,41.19754,,,False
component_x,96,180.4,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat2,1.5818904169983516,-1.5818904169983516,84.24097,,,False
component_x,99,389.4,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,1.352879705681153,-0.9118744884500599,88.21288,,,False
component_x,100,294.0,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,1.477336797833443,0.7940784326373507,394.10287,,,False
component_x,102,356.0,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,0.6147207614028585,0.5034171462821403,62.24133,,,False
component_x,103,405.6,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,0.9914533955177932,-0.9914533955177932,64.78519,347.4,58.20000610351565,True
component_x,105,497.0,0,Cat0,Cat10,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1,0.5101655821781166,0.3091089614203133,47.0596,375.0,122.0,False
component_x,106,505.0,0,Cat1,Cat2,Cat2,Cat0,Cat0,Cat0,Cat4,Cat1,0.44233095356251023,-0.01136906914771707,48.720795,232.8,272.1999969482422,False
component_x,108,442.0,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,0.5136818732159595,-0.11848044874816994,33.713238,,,False
component_x,109,495.6,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,0.5815819396618219,-0.06558375071007988,59.96017,,,False
component_x,110,413.0,0,Cat0,Cat4,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1,0.8327332153671235,0.6391837936625872,168.91849,366.8,46.20001220703125,True
component_x,111,469.4,0,Cat1,Cat10,Cat0,Cat0,Cat0,Cat0,Cat4,Cat0,0.7530315653239623,0.04558398643871816,64.49338,269.0,200.39999999999998,False
component_x,112,492.4,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat1,0.8385432934713773,-0.7903865756439026,69.2296,30.4,462.0000003814697,False
component_x,113,282.6,0,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1,0.348607593984688,-0.1515120234023989,32.684185,,,False
component_x,114,291.2,1,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.5972651902554844,-0.012104451271787128,30.733953,,,False
component_x,115,125.6,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat1,1.044164150798596,-0.8259804498922375,69.82531,39.2,86.39999923706054,False
component_x,116,357.0,1,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.8015675494954544,0.6515322575495309,74.18197,52.4,304.5999984741211,False
component_x,118,263.4,0,Cat0,Cat7,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1,0.8718096830775045,0.5076136972479244,100.19955,,,False
component_x,121,156.4,0,Cat0,Cat5,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0,0.24445620624732448,-0.048965950982149904,14.406991,,,False
component_x,122,418.2,0,Cat1,Cat3,Cat2,Cat0,Cat0,Cat1,Cat4,Cat0,0.3497179894452878,-0.06904626710418642,31.749079,268.2,149.99998779296874,False
component_x,123,491.4,0,Cat0,Cat9,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1,0.8195040730289004,0.7070814207976374,102.150665,,,False
component_x,124,495.4,0,Cat0,Cat7,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,0.6647293022160651,0.33506145748614946,52.782364,,,False
component_x,125,211.6,0,Cat1,Cat12,Cat0,Cat1,Cat0,Cat0,Cat4,Cat2,0.41911526709204,0.05089409430141955,44.217564,,,False
component_x,126,476.6,0,Cat0,Cat10,Cat2,Cat0,Cat0,Cat2,Cat2,Cat1,1.2751631403778987,-1.2751631403778987,77.863914,,,False
component_x,128,136.2,0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat4,Cat2,2.0515307459457035,0.8139845289118854,298.97134,132.6,3.5999938964843636,True
component_x,130,497.0,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat0,0.5139361982020976,-0.2674851434303472,47.660385,,,False
component_x,131,305.8,0,Cat1,Cat0,Cat2,Cat0,Cat0,Cat0,Cat4,Cat1,0.6524539559041087,-0.26325149267759285,43.659363,,,False
component_x,132,208.4,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,0.936686235595768,0.3105687791569683,82.057526,,,False
component_x,134,351.8,1,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat1,0.640887228143547,-0.2786166614721702,50.517944,,,False
component_x,135,490.0,0,Cat0,Cat2,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1,1.0059370596223827,-0.9411366600764642,75.40165,200.6,289.3999938964844,False
component_x,136,303.4,0,Cat1,Cat13,Cat0,Cat0,Cat0,Cat0,Cat4,Cat0,0.4466459796795795,-0.22338937468072953,35.978558,,,False
component_x,138,254.4,0,Cat0,Cat5,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.48333830012598855,-0.4363761178861491,39.54678,37.2,217.19999923706055,False
component_x,139,200.4,1,Cat0,Cat5,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.7646518622346695,-0.6841815935308654,43.56671,,,False
component_x,140,454.4,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0,0.4253791778606137,-0.34736676601917216,43.31712,51.8,402.60000076293943,False
component_x,141,469.8,0,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1,0.8098274080495277,-0.794493048050939,51.296326,,,False
component_x,142,381.0,0,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1,1.9786320769852936,-1.9372824217467255,79.96341,26.6,354.3999996185303,False
component_x,143,200.2,0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat3,Cat0,1.0831047111059204,0.3774440616467605,338.73962,114.8,85.39999694824218,False
component_x,144,213.6,0,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1,0.8119160949590527,0.2814296982881796,87.34216,,,False
component_x,146,213.6,0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat3,Cat0,0.25408225039968485,0.015011138127666801,21.522146,,,False
component_x,147,502.2,0,Cat1,Cat0,Cat0,Cat0,Cat0,Cat2,Cat4,Cat1,0.7615494391636614,-0.6984679830920489,66.132835,,,False
component_x,148,272.0,0,Cat0,Cat2,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1,0.8608332418032701,0.4340438527478623,67.99555,,,False
component_x,149,352.4,0,Cat0,Cat2,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1,0.454432031866991,-0.2684216803894584,31.56456,66.0,286.4,False
component_x,150,434.6,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,1.078076875721181,-0.3235135900326873,66.71413,,,False
component_x,151,390.8,0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat2,Cat0,Cat1,0.6298562007480343,-0.5132751741201336,75.980965,36.6,354.2000015258789,False
component_x,152,504.8,0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat4,Cat0,0.9347959787494641,0.0663188616965884,57.903324,,,False
component_x,154,500.0,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0,1.1873913586531186,-1.1873913586531186,79.975266,329.4,170.60000610351562,False
component_x,155,207.2,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.7698290480086385,-0.6953696829206324,66.982376,37.6,169.6000015258789,False
component_x,156,206.6,0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat4,Cat2,1.184461632517208,0.7295874401510968,377.88074,,,False
component_x,159,504.8,0,Cat0,Cat4,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1,0.5784820310024605,-0.5676532947442181,41.465954,24.4,480.40000038146974,False
component_x,160,288.4,0,Cat0,Cat2,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1,0.9788799267535159,-0.26456897598298684,51.154713,,,False
component_x,161,454.0,1,Cat0,Cat12,Cat0,Cat1,Cat0,Cat0,Cat0,Cat1,0.6513335310283203,-0.3799573256504681,55.162914,,,False
component_x,162,494.2,0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1,0.6833186647194612,0.09376052515171311,37.62945,12.2,482.00000019073485,False
component_x,163,488.8,0,Cat0,Cat14,Cat2,Cat0,Cat0,Cat1,Cat0,Cat0,1.1014181191461374,-1.0836050596672304,64.2969,,,False
component_x,164,156.0,0,Cat0,Cat13,Cat2,Cat0,Cat0,Cat2,Cat0,Cat1,0.6316001026455795,0.07316252043469736,32.689575,,,False
component_x,165,138.4,0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,0.46686307490334605,0.3245136131402669,29.669525,,,False
component_x,167,477.4,0,Cat0,Cat2,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1,0.37733653654539717,-0.31068643817780056,31.9888,185.0,292.4,False
component_x,168,434.2,0,Cat1,Cat4,Cat0,Cat0,Cat0,Cat2,Cat4,Cat1,0.3792816673803991,0.2893726561123109,31.414309,,,False
component_x,169,299.0,0,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1,0.14923571363916902,-0.0685056915271717,29.09461,42.0,257.0,False
component_x,171,429.4,0,Cat0,Cat15,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1,1.6315821009284088,-1.6315821009284088,95.584145,139.8,289.59999694824216,False
component_x,172,467.0,0,Cat0,Cat12,Cat0,Cat1,Cat0,Cat0,Cat0,Cat1,0.6456603986612076,-0.5002332886773667,40.313183,191.4,275.6000061035156,False
component_x,175,488.2,0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1,0.710003828698433,0.1665390017622212,32.48644,90.6,397.6000015258789,False
component_x,177,161.0,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.5678329295056506,-0.5678329295056506,80.89163,48.4,112.5999984741211,False
component_x,178,413.8,0,Cat0,Cat9,Cat3,Cat0,Cat0,Cat0,Cat0,Cat0,0.7553715109021734,-0.7259607046814907,58.84436,247.4,166.40000610351564,False
component_x,179,483.4,0,Cat0,Cat12,Cat0,Cat1,Cat0,Cat0,Cat0,Cat1,1.0655324709799607,-0.970406312054862,69.83159,,,False
component_x,185,323.4,1,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat4,Cat0,1.0151828715825302,0.886470684902798,92.541084,5.0,318.4,False
component_x,186,100.0,1,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat1,Cat0,0.4835066378590083,0.31683291919970963,41.402164,,,False
component_x,187,287.0,0,Cat0,Cat6,Cat0,Cat1,Cat0,Cat0,Cat0,Cat0,1.5326725205174982,1.3655296082879615,169.62527,271.6,15.399993896484375,True
component_x,188,494.8,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,0.7944066102201085,-0.4658071978826992,60.41211,27.4,467.40000038146974,False
component_x,190,170.4,0,Cat0,Cat13,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,0.8547988581770896,0.02078658594552335,73.863594,130.2,40.20000305175782,True
component_x,191,302.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.3399215595345855,-0.07528220732493889,29.011652,,,False
component_x,193,411.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,1.2036637856696422,-1.109931706106531,61.12904,56.2,355.39999923706057,False
component_x,194,434.8,0,Cat0,Cat7,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,1.1642208037492376,0.07989334538968336,107.19535,,,False
component_x,195,422.0,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.9105177797639022,0.8767890654698755,80.31402,,,False
component_x,197,390.6,1,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,1.2037677579443626,-0.04598958120891713,82.90188,,,False
component_x,199,502.2,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,1.1574339135051044,0.18423448256954159,238.29236,242.0,260.2,False
component_x,200,504.8,0,Cat1,Cat3,Cat2,Cat0,Cat0,Cat0,Cat4,Cat1,1.5847256516547468,1.4327586043942748,144.65555,501.2,3.5999877929687614,True
component_x,202,478.8,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1,0.6205236425965127,-0.3053133055957686,66.67552,324.8,154.00001220703126,False
component_x,203,483.4,0,Cat0,Cat13,Cat2,Cat0,Cat0,Cat0,Cat0,Cat0,0.8412113193799285,0.16209969569946855,68.460175,206.0,277.4,False
component_x,204,208.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat2,0.527403417101272,-0.028009052775907522,62.641674,25.0,183.6,False
component_x,205,434.2,0,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1,0.8957386503825226,-0.4774935852484976,40.65915,278.8,155.40001220703124,False
component_x,206,420.4,1,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0,1.8643029532186952,0.6154856958439058,187.11519,415.4,5.000006103515602,True
component_x,207,496.4,0,Cat1,Cat7,Cat2,Cat0,Cat0,Cat0,Cat4,Cat0,0.3349594026470233,-0.09010047437759156,30.462732,122.8,373.59999694824216,False
component_x,208,228.4,0,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1,2.0284265582244836,-2.0284265582244836,78.0951,200.6,27.79999389648438,True
component_x,209,490.2,0,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1,1.5109550280397528,0.11710580456824231,318.75708,,,False
component_x,211,470.8,0,Cat1,Cat13,Cat0,Cat0,Cat0,Cat1,Cat4,Cat0,0.7537307474523872,0.11838432134529787,48.4098,,,False
component_x,213,383.0,0,Cat0,Cat3,Cat2,Cat1,Cat0,Cat0,Cat0,Cat0,2.4219971526502353,2.18331300826174,169.93504,220.8,162.1999969482422,False
component_x,215,160.4,0,Cat0,Cat9,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1,0.6399749236564662,-0.44874185612136985,66.20726,77.6,82.80000152587891,False
component_x,216,495.4,0,Cat1,Cat0,Cat0,Cat0,Cat0,Cat2,Cat4,Cat1,1.4942041081115545,-1.490348744747747,78.744995,,,False
component_x,217,478.2,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat0,0.3372717218381272,-0.3216634042571958,39.724415,27.6,450.59999961853026,False
component_x,218,295.0,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat2,0.3430108041369599,-0.21851308791868304,40.132114,39.6,255.4000015258789,False
component_x,219,497.8,0,Cat0,Cat9,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1,0.8932779216648804,0.6051113029600945,65.30639,423.6,74.19999389648439,False
component_x,222,483.4,0,Cat0,Cat9,Cat3,Cat0,Cat0,Cat0,Cat0,Cat0,0.8193955415928285,-0.2725723940113941,66.917305,421.6,61.79999389648435,False
component_x,223,148.8,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1,1.0585130980534734,0.055442853409560455,38.235825,,,False
component_x,226,147.4,0,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1,1.7935165104386892,-1.7935165104386892,81.64293,,,False
component_x,228,482.0,1,Cat1,Cat1,Cat1,Cat1,Cat0,Cat1,Cat4,Cat1,0.8552657365222899,-0.4258542940192111,54.31605,30.4,451.6000003814697,False
component_x,229,359.2,0,Cat0,Cat9,Cat3,Cat0,Cat0,Cat0,Cat0,Cat1,1.0320609862994232,-0.392445211964541,63.236523,5.6,353.6000000953674,False
